ASIN,MARKETPLACE,BRAND_NAME,regression_vals
B019XTF03U,IT,Espring,"[-0.00702702702702688, 15.216432432432429]"
B019XU7QLS,DE,Espring,"[-0.08870967741935486, 8.360967741935486]"
B019Y5U1G4,DE,Espring,"[0.012798092209856924, 8.846200317965025]"
B019Y5U1G4,ES,Espring,"[-0.0, 10.49]"
B019Y5U1G4,FR,Espring,"[0.0, 10.99]"
B01AAJOVH8,IT,Espring,"[-1.5661852107809258, 13.024854872149275]"
B01AM85KWW,ES,Espring,"[0.0, 8.621219512195122]"
B01AM85KWW,FR,Espring,"[-0.1473333333333333, 8.933333333333332]"
B01BH6XFG6,DE,Espring,"[-0.1261088242690561, 15.776584252114409]"
B01BH6XFG6,ES,Espring,"[0.06603773584905642, 16.672675814751287]"
B01BH6XFG6,FR,Espring,"[0.004197271773347358, 18.197135362014688]"
B01BH6XFG6,IT,Espring,"[0.06250000000000007, 16.3525]"
B01BH6XFG6,UK,Espring,"[-0.06261944895348831, 16.02877366848837]"
B01CGDQMDM,DE,Espring,"[0.04186483915600138, 9.888640176409547]"
B01CGDQMDM,ES,Espring,"[-0.26833568406205927, 12.761039022096847]"
B01CGDQMDM,FR,Espring,"[-0.2854756415586379, 13.366412562833059]"
B01CGDQMDM,IT,Espring,"[-0.5493827160493833, 12.582592592592592]"
B01CGDQMDM,UK,Espring,"[-1.0049168189536344, 15.673451468897246]"
B01CGDQMDM,US,Espring,"[0.0050530389537261815, 9.141426757270917]"
B01DSCC1Y4,DE,Tritart,"[0.014342235410484664, 4.636389713155294]"
B01DSCC1Y4,ES,Tritart,"[0.0, 5.989999999999998]"
B01DSCC1Y4,PL,Tritart,"[0.059913710857142935, 6.547029178142857]"
B01F7TT4I2,DE,Espring,"[0.026988636363636347, 9.935170454545455]"
B01FWEBV6K,IT,Espring,"[-1.1102230246251565e-16, 7.8]"
B01G488QPC,DE,Espring,"[-0.11829036522888792, 14.554716575772598]"
B01G488QPC,ES,Espring,"[-0.49028155339805884, 17.001543689320386]"
B01G488QPC,FR,Espring,"[-0.1920746887966805, 16.983070539419078]"
B01G488QPC,IT,Espring,"[-0.05141666666666658, 16.832583333333332]"
B01G6UPTUI,DE,Espring,"[0.0043947957141174995, 10.266345225479808]"
B01G6UPTUI,ES,Espring,"[-0.005594634873323404, 11.195365126676602]"
B01G6UPTUI,FR,Espring,"[-0.003354660210963179, 12.673399619574614]"
B01G6UPTUI,IT,Espring,"[0.2173793859649123, 12.507927631578948]"
B01G6UPTUI,US,Espring,"[-0.048796864055352496, 9.29243734937702]"
B01G9KXXGM,UK,H&S,"[-0.0033856014602407516, 11.60905043447991]"
B01GK3YTG6,DE,Espring,"[-0.06615585871799666, 8.708744159970099]"
B01GK3YTG6,ES,Espring,"[-0.8376068376068377, 13.148119658119658]"
B01GK3YTG6,FR,Espring,"[-0.01915727805317707, 11.753294276701219]"
B01GK3YTG6,IT,Espring,"[-0.0, 13.99]"
B01H2A42C2,DE,Espring,"[0.05568369028006587, 5.204168039538716]"
B01H723G6S,DE,Espring,"[-0.14550264550264524, 6.519100529100531]"
B01HBA2IM4,DE,Espring,"[-0.001531188598534128, 19.036155164013856]"
B01HBA2IM4,ES,Espring,"[1.419556958406369e-17, 22.832105263157896]"
B01HBA2IM4,FR,Espring,"[-0.20118343195266267, 24.918994082840236]"
B01HBA2IM4,IT,Espring,"[-0.04331210191082807, 22.958152866242038]"
B01HBA2IM4,US,Espring,"[-0.011397436872678744, 17.411191699342922]"
B01HFIONTS,DE,Espring,"[-0.0033233106504193645, 10.726413989555308]"
B01HFIONTS,ES,Espring,"[0.5, 18.390000000000004]"
B01HFIONTS,FR,Espring,"[0.8333333333333333, 14.323333333333332]"
B01HFIONTS,IT,Espring,"[-0.03311271975180974, 12.033099793174767]"
B01HFIOUJG,DE,Espring,"[0.15698841698841692, 10.776949806949807]"
B01HFIOUJG,ES,Espring,"[0.14166666666666647, 11.181666666666667]"
B01HFIOUJG,FR,Espring,"[0.17426470588235318, 13.618235294117644]"
B01HFIOUJG,US,Espring,"[0.1689039651334146, 10.648602643056304]"
B01HFJEZ68,DE,Espring,"[6.131052857306023e-31, 33.989999999999995]"
B01HFJEZ68,ES,Espring,"[-1.5099682539682555, 38.46396825396824]"
B01HMJ2LQW,DE,Espring,"[-0.14590097402597396, 20.859439935064938]"
B01HMJ2LQW,ES,Espring,"[0.20446808510638229, 23.785531914893614]"
B01HMJ2LQW,FR,Espring,"[-0.03508804448563474, 26.53999073215941]"
B01HMJ2LQW,IT,Espring,"[-0.13159408244680842, 24.109539561170212]"
B01HMJ2OF0,IT,Espring,"[-0.02769230769230762, 14.6089966555184]"
B01HOA4J5K,DE,Espring,"[-0.00760680991317017, 10.635689408220347]"
B01HOA4J5K,ES,Espring,"[-0.0, 14.99]"
B01HOA4J5K,FR,Espring,"[-4.574457733855466e-31, 16.990000000000002]"
B01HOA4J5K,IT,Espring,"[-0.08902922032959422, 16.137348012740617]"
B01HOA4J5K,UK,Espring,"[-0.057076227345481234, 11.684282838238396]"
B01HOA4J5K,US,Espring,"[-0.11799979396510926, 11.886298594881728]"
B01HS5ASGK,UK,H&S,"[-0.0017878789077237112, 11.924347038801807]"
B01HXOSRYG,DE,Espring,"[-0.38450058039909346, 19.08851307279863]"
B01HXOSRYG,ES,Espring,"[-0.6912291933418693, 23.57898847631242]"
B01HXOSRYG,FR,Espring,"[-0.6590992310508973, 26.60991944342732]"
B01HXOSRYG,IT,Espring,"[0.05139460803356381, 23.342148240229978]"
B01HXOSRYG,UK,Espring,"[-0.4306340776332623, 21.605322282302776]"
B01HXOSRYG,US,Espring,"[-0.0002851326087319937, 15.20951745890328]"
B01HXVPJ68,IT,Espring,"[-0.0, 5.5]"
B01HXX8RVA,DE,Espring,"[-1.3367769168244388e-31, 10.989999999999998]"
B01HXX8RVA,ES,Espring,"[1.8233636397183465e-32, 12.989999999999998]"
B01HXX8RVA,FR,Espring,"[-1.3688696980249757e-31, 11.989999999999998]"
B01HXX8RVA,IT,Espring,"[0.0, 11.99]"
B01HXX8RVA,UK,Espring,"[-0.13664763472262625, 10.195167983747154]"
B01HXX8RVA,US,Espring,"[-0.044230144751773025, 8.854933296106385]"
B01HZDQ5Q2,DE,Espring,"[-0.4679270762997973, 9.407960837272114]"
B01HZDQ5Q2,US,Espring,"[3.124354186391129e-05, 12.653597183148927]"
B01I1HQNFE,DE,Espring,"[0.12903225806451615, 14.264193548387096]"
B01I9P24BK,DE,Espring,"[-5.584297180524847e-32, 20.990000000000002]"
B01I9P24BK,ES,Espring,"[-0.036411483253588534, 21.55259968102073]"
B01I9P24BK,FR,Espring,"[-0.14045278137128078, 22.720957309184996]"
B01I9P24BK,IT,Espring,"[-0.014132231404958711, 22.141157024793394]"
B01ICXZED4,DE,Espring,"[0.10906737148713523, 28.03708991855007]"
B01ICXZED4,ES,Espring,"[-0.010590692124105003, 33.01013723150356]"
B01ICXZED4,IT,Espring,"[1.7927159075028393e-31, 33.98999999999999]"
B01IF16N8I,IT,Espring,"[-0.024090909090909125, 20.672402597402595]"
B01IHT0V18,DE,Espring,"[-0.1295387634936212, 30.698047105004907]"
B01IHT0V18,IT,Espring,"[0.4698181818181817, 33.42018181818182]"
B01IRAN2R2,DE,Espring,"[0.022137096774193555, 8.14741935483871]"
B01IRAN2R2,ES,Espring,"[0.04324999999999997, 7.50875]"
B01IRAN2R2,FR,Espring,"[-0.002617079889807172, 7.641115702479339]"
B01IRAN2R2,IT,Espring,"[-0.01262839879154077, 8.013897280966768]"
B01IRAN2R2,US,Espring,"[0.1723504251373912, 8.84577763145913]"
B01J3WOZ4M,DE,Espring,"[-0.018312152552506705, 12.782841786563878]"
B01J3WOZ4M,ES,Espring,"[-0.0, 13.49]"
B01J3WOZ4M,FR,Espring,"[1.8881920372694998e-31, 14.589999999999996]"
B01J3WOZ4M,IT,Espring,"[0.0, 14.99]"
B01J7YPHCU,DE,Espring,"[-0.18290026689572658, 13.822162468938858]"
B01J7YPHCU,IT,Espring,"[-1.4142314540059344, 17.78629673590504]"
B01JA6LPJE,DE,Espring,"[-0.21512043409211223, 18.90412122816305]"
B01JA6LPJE,ES,Espring,"[-0.018735177984976013, 19.142098539126504]"
B01JA6LPJE,FR,Espring,"[0.10958465011286678, 22.11450112866818]"
B01JA6LPJE,IT,Espring,"[-0.015586319218241027, 19.944609120521168]"
B01JA6LPJE,UK,Espring,"[0.0, 20.08036739]"
B01JA6LPJE,US,Espring,"[-0.2444687765142274, 14.915753734077235]"
B01JA9T2N2,DE,Espring,"[-0.03285190451245978, 18.29823916785153]"
B01JA9T2N2,ES,Espring,"[-0.38207547169811307, 22.939056603773587]"
B01JA9T2N2,FR,Espring,"[-0.45135055495530857, 24.213789411649152]"
B01JA9T2N2,IT,Espring,"[-1.2724164844676258e-31, 21.990000000000002]"
B01JA9T2N2,UK,Espring,"[-0.08060455075978655, 18.285914622045432]"
B01JA9T2N2,US,Espring,"[-0.21502801505648192, 16.067383464219116]"
B01JAAUA0U,DE,Espring,"[-0.029779411764705863, 15.86720588235294]"
B01JAAUA0U,ES,Espring,"[-0.0, 15.99]"
B01JAAUA0U,FR,Espring,"[-0.3154904876281978, 15.845579701856721]"
B01JAAUA0U,IT,Espring,"[0.04528301886792431, 14.73288628250892]"
B01JAAUA0U,US,Espring,"[0.035242671558145804, 12.672646570921117]"
B01JIVXOUO,DE,Espring,"[0.05299888742793563, 17.51968544553454]"
B01JIVXOUO,US,Espring,"[-0.39340300357039176, 15.584800915104013]"
B01JP1QDKU,DE,Espring,"[-0.21168264388824648, 12.114435823790517]"
B01JP1QDKU,ES,Espring,"[-0.30555225653206625, 13.57607482185273]"
B01JP1QDKU,FR,Espring,"[-0.2824704142011833, 17.408579881656806]"
B01JP1QDKU,IT,Espring,"[-0.13156996587030717, 13.963549488054609]"
B01JP1QDKU,US,Espring,"[-0.261062777165611, 7.14586230365101]"
B01JXX9960,DE,H&S,"[-7.198944934919373e-33, 6.490000000000002]"
B01JXX9960,ES,H&S,"[0.0, 8.99]"
B01JXX9960,FR,H&S,"[0.0, 9.49]"
B01JXX9960,IT,H&S,"[-0.0, 10.49]"
B01JXX9960,UK,H&S,"[-0.002164617444314171, 8.521993240640887]"
B01JXX9960,US,H&S,"[-0.28095994271173136, 7.289144300388781]"
B01K0YPWEY,DE,H&S,"[0.0, 10.49]"
B01K0YPWEY,ES,H&S,"[-7.768688361529707e-32, 11.989999999999998]"
B01K0YPWEY,FR,H&S,"[4.299692978838507e-32, 13.989999999999998]"
B01K0YPWEY,IT,H&S,"[-1.5279113224421024e-31, 13.489999999999998]"
B01K0YPWEY,UK,H&S,"[-0.003990610503722682, 11.507052803267921]"
B01K0YPWEY,US,H&S,"[-0.08824471560005583, 11.494051476416766]"
B01K1135UO,DE,H&S,"[-0.0, 9.99]"
B01K1135UO,ES,H&S,"[0.01812450748620962, 11.965571315996847]"
B01K1135UO,FR,H&S,"[0.0, 14.49]"
