ASIN,MARKETPLACE,REGION,BRAND_NAME,MAIN_CATEGORY,SUB_CATEGORY
B078X394PF,DE,EU,H&S,Home & Kitchen,Kitchen & Dining
B017DIQL0O,FR,EU,Espring,Home & Kitchen,Furniture
B00TY2O8QC,TR,EU,H&S,Tools & Home Improvement,Safety & Security
B01N5EAVIA,FR,EU,Tritart,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B071WJFD25,CA,CA,H&S,Office Products,Office & School Supplies
B0876W43DH,FR,EU,Espring,Sports & Outdoors,Outdoor Recreation
B01MXVFWJM,IT,EU,H&S,Tools & Home Improvement,Kitchen & Bath Fixtures
B07JHGCQPR,PL,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B018OMJGCS,PL,EU,H&S,Sports & Outdoors,Outdoor Recreation
B07PQQRNBM,NL,EU,Espring,Home & Kitchen,Kitchen & Dining
B01JA6LPJE,BE,EU,Espring,Sports & Outdoors,Exercise & Fitness
B00C13AZEA,CA,CA,H&S,Sports & Outdoors,Outdoor Recreation
B0711BXWMK,PL,EU,Espring,Beauty & Personal Care,Oral Care
B01JP1QDKU,DE,EU,Espring,Pet Supplies,Dogs
B07CKW6CLT,DE,EU,Espring,Health & Household,Sexual Wellness
B084BWY8FP,PL,EU,Espring,Office Products,Office & School Supplies
B08ZCNVCF4,PL,EU,Espring,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B07DW2WX4N,DE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B098XG9G97,NON-AMAZON,EU,Espring,Home & Kitchen,Kitchen & Dining
B07T7N8DP7,PL,EU,Espring,Tools & Home Improvement,Hardware
B016C6FX9S,UK,UK,Espring,Home & Kitchen,Kitchen & Dining
B015FX4ZZ2,SE,EU,Espring,Home & Kitchen,Home Décor
B0711HDC9L,FR,EU,Espring,Home & Kitchen,Kitchen & Dining
B07TDLK5W3,TR,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07RLM8RRX,IT,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B01MQIXA4C,PL,EU,Espring,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B07QV6S7N3,NL,EU,H&S,Office Products,Office & School Supplies
B07KV8ZB91,NON-AMAZON,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B00K1Q9HIE,NON-AMAZON,EU,H&S,Beauty & Personal Care,"Foot, Hand & Nail Care"
B07QD5X6M4,NON-AMAZON,EU,Espring,"Clothing, Shoes & Jewelry",Luggage & Travel Gear
B07D72GCWP,DE,EU,H&S,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies"
B072Q35687,US,US,H&S,Home & Kitchen,Storage & Organization
B09C8JHT9L,SE,EU,Espring,Automotive,Car Electronics & Accessories
B01LW0UMHZ,PL,EU,H&S,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories"
B06XS97SKH,DE,EU,H&S,Beauty & Personal Care,Bath & Body
B07T6G2LTB,IT,EU,Espring,Beauty & Personal Care,Skin Care
B073FNSXGX,IT,EU,Espring,Industrial & Scientific,Food Service Equipment & Supplies
B01I9HCUV2,IT,EU,Espring,Home & Kitchen,Kitchen & Dining
