
ASIN,REGION,MARKETPLACE_NAME,COUNTRY,BRAND,MIN_CATEGORY_LEAF_NAME
B017DJFUNC,Europe,amazon.it,Italy,Espring,Ganci per passeggini
B07Z67GS2K,Europe,amazon.it,Italy,Espring,Coprimaterassi e protezioni
B08D6GMSG1,Europe,amazon.it,Italy,Espring,Tappetini per il bagno
B0B615NCNY,Europe,amazon.it,Italy,Espring,Etichette per valigie
B09BHPLJ35,Europe,amazon.it,Italy,Espring,Thermos per bibite
B07CNDR86T,Europe,amazon.pl,Poland,H&S,Wsuwki do włosów
B07RQJJ9VX,Europe,amazon.pl,Poland,H&S,Szpilki proste
B07QV6S7N3,Europe,amazon.pl,Poland,H&S,Pineski i szpilki
B07S5JTFYG,Europe,amazon.pl,Poland,H&S,"Akcesoria do zasłon, firan i żaluzji"
B07TQS7PDP,Europe,amazon.pl,Poland,H&S,Szydełka
B074VWN2SN,Europe,amazon.pl,Poland,H&S,Opaski zaciskowe
B00C13AZFE,Europe,amazon.pl,Poland,H&S,Kłódki i wrzeciądza
B06Y4XSC22,Europe,amazon.pl,Poland,H&S,Pompki i akcesoria
B07TN75FC1,Europe,amazon.pl,Poland,H&S,Opaski na rękę
B07CPD18VZ,Europe,amazon.pl,Poland,H&S,Korkociągi kelnerskie
B072Q35687,Europe,amazon.pl,Poland,H&S,Szczotki
B0BZQD65XM,Europe,amazon.it,Italy,Tritart,Punte forstner
B08Q42K5PK,Europe,amazon.it,Italy,Tritart,Coloranti
B082ML79V3,Europe,amazon.it,Italy,Tritart,Carta per acquarelli
B092D55SKX,Europe,amazon.it,Italy,Tritart,Carta per origami
B07PNX2XJF,Europe,amazon.it,Italy,Tritart,Cavalletti
B0CCD7L3R5,Europe,amazon.it,Italy,Tritart,Pennarelli
B09MSV4PZL,Europe,amazon.it,Italy,Tritart,Cartoncino colorato
B08X1SQWL4,Europe,amazon.it,Italy,Tritart,Presentazione e confezione gioielli
B08299Z7PM,Europe,amazon.it,Italy,Tritart,Cartoncino colorato
B07TGFSLCB,Europe,amazon.it,Italy,Tritart,Carta per acquarelli
B00FHGCK32,North America,amazon.us,United States,H&S,
B07D25WVDB,North America,amazon.us,United States,H&S,Straws
B0BTZ69LDB,North America,amazon.us,United States,H&S,Paint Brushes
B0BS19BV5G,North America,amazon.us,United States,H&S,Colored
B01N49LBVM,North America,amazon.us,United States,H&S,Bar Tools & Drinkware
B07C86J71P,North America,amazon.us,United States,H&S,
B07GN3J56J,North America,amazon.us,United States,H&S,Cups
B07D4C6M64,North America,amazon.us,United States,H&S,Magnifying Tools
B074VWN2SN,North America,amazon.us,United States,H&S,Cable Ties
B0BTZ6QR6J,North America,amazon.us,United States,H&S,
B00CY3J606,North America,amazon.us,United States,H&S,Bookshelf Albums
B06W2GK4N9,North America,amazon.us,United States,H&S,Timers
B071LJBPNT,North America,amazon.us,United States,H&S,Desk Accessories & Workspace Organizers
B01MT8B3KQ,North America,amazon.us,United States,H&S,
B07JHGCQPR,North America,amazon.us,United States,H&S,Knitting Needles
B073TRQQQT,North America,amazon.us,United States,H&S,Turnbuckles
B01N6H1MWI,North America,amazon.us,United States,H&S,Magnifying Tools
B06XZ1B8QQ,North America,amazon.us,United States,H&S,Personal Care
B00C13AZFE,North America,amazon.mx,Mexico,H&S,Candados de Cadena
B07DZHXPL6,North America,amazon.mx,Mexico,H&S,
B00DHPM6GG,North America,amazon.mx,Mexico,H&S,Juegos de Herramientas
B072LXQPCH,North America,amazon.mx,Mexico,H&S,Ligas para el Cabello
B073TRQQQT,North America,amazon.mx,Mexico,H&S,Jalado y Elevación
B07WTXZ2JC,North America,amazon.mx,Mexico,H&S,Adornos
B00FHGGUT2,North America,amazon.mx,Mexico,H&S,Ruedas
B0721JH8PH,North America,amazon.mx,Mexico,H&S,Ganchos Decorativos de Cortina de Regadera
B073ZQFKV4,Europe,amazon.it,Italy,H&S,Sottobicchieri
B07GTF236R,Europe,amazon.it,Italy,H&S,Cinghie
B07QV6S7N3,Europe,amazon.it,Italy,H&S,Puntine e ganci
B06Y4S6ZCP,Europe,amazon.it,Italy,H&S,Cartelle portadocumenti
B0C77NHNMS,Europe,amazon.it,Italy,H&S,Cuffie per PC
B01N3UZDFH,Europe,amazon.it,Italy,H&S,Tendiscarpe
B071LJBPNT,Europe,amazon.it,Italy,H&S,Cartelle portadocumenti da viaggio
B078X394PF,Europe,amazon.it,Italy,H&S,Timer da cucina
B078PYYXBH,Europe,amazon.it,Italy,H&S,Tele intelaiate
B01JXX9960,Europe,amazon.it,Italy,H&S,Fermaporte
B072LXQPCH,Europe,amazon.it,Italy,H&S,Cerchietti e fasce per capelli
B00NBCCR0A,Europe,amazon.it,Italy,H&S,Organizer personali
B07F1WVSWR,Europe,amazon.it,Italy,H&S,Capotasto
B07DZ9L7KS,Europe,amazon.it,Italy,H&S,Tappi versatori da vino
